Major,Classification,Degree level,College,
Radiation Therapy,Undergraduate,B.S.,College of Science,
Reading and Literacy,Graduate,M.Ed.,National Moser Center for Adult Learning,
Religious Studies,Undergraduate,Minor,College of Liberal Arts,
Scholars Program,Undergraduate,-,College of Liberal Arts,
Science Content and Process,Graduate,M.S.,College of Science,
Secondary Education,Undergraduate,Minor,College of Liberal Arts,
Secondary Education - Biology,Undergraduate,B.S.,College of Education and Health Services,
Secondary Education - Business and Economics,Undergraduate,B.B.A.,College of Education and Health Services,
Secondary Education - Chemistry,Undergraduate,B.S.,College of Education and Health Services,
Secondary Education - English Language and Literature,Undergraduate,B.A.,College of Education and Health Services,
Secondary Education - Mathematics,Undergraduate,B.S.,College of Education and Health Services,
Secondary Education - Physics,Undergraduate,B.S.,College of Education and Health Services,
Secondary Education - Social Science,Undergraduate,B.A.,College of Education and Health Services,
Secondary Education - Spanish,Undergraduate,B.A.,College of Education and Health Services,
Service Management,Graduate,Certificate,College of Business,
Social Science,Undergraduate,B.A.,College of Liberal Arts,
Social Work,Undergraduate,Minor,College of Liberal Arts,
Sociology,Undergraduate,B.A.,College of Liberal Arts,
Sociology - Criminal Justice,Undergraduate,B.A.,College of Liberal Arts,
Spanish,Undergraduate,B.A.,College of Liberal Arts,
Spanish - Medical Spanish,Undergraduate,B.A.,College of Liberal Arts,
Special Education,Undergraduate,B.A.,College of Education and Health Services,
Sports Management,Undergraduate,Minor,College of Business,
Sports Marketing,Undergraduate,Minor,College of Business,
Studio Art,Undergraduate,B.A.,College of Liberal Arts,
Sustainable Business and Leadership,Graduate,Certificate,College of Business,
Taxation,Graduate,Certificate,College of Business,
Taxation,Graduate,M.S.,College of Business,
Theology,Undergraduate,B.A.,College of Liberal Arts,
Theology in Life,Adult Accelerated,Certificate,College of Liberal Arts,
Training and Development,Graduate,Certificate,College of Business,
Undecided,Undergraduate,-,College of Liberal Arts,
Values-Driven Leadership,Doctoral,Ph.D.,College of Business,
Values-Driven Leadership,Doctoral,D.B.A.,College of Business,
Writing and Publishing,,,,
